sample_id,day_relative,is_prediction_target,makanan,minuman,transportasi,belanja,tagihan,hiburan,kesehatan,lain_lain
0,1,False,45.840683,12.756376,13.967379,0.0,0.0,0.0,157.65456,0.0
0,2,False,32.08698,13.288898,22.033619,0.0,219.25827,0.0,0.0,0.0
0,3,False,38.537804,13.605257,23.20306,69.137474,310.28116,0.0,0.0,0.0
0,4,False,29.052088,18.281399,21.52235,107.30683,0.0,0.0,0.0,0.0
0,5,False,31.359543,0.0,29.202265,0.0,0.0,0.0,0.0,9.814887
0,6,False,35.07752,14.998992,0.0,0.0,200.581,45.015835,160.13046,0.0
0,7,False,31.726408,25.579336,0.0,0.0,0.0,29.676424,0.0,0.0
0,8,False,42.963833,10.958472,18.584084,0.0,0.0,0.0,0.0,27.134481
0,9,False,46.6027,24.714138,21.998642,0.0,28.598928,19.642366,0.0,0.0
0,10,False,50.487564,17.702526,16.918106,44.94008,0.0,0.0,0.0,0.0
0,11,False,47.73779,27.078508,26.919685,0.0,0.0,0.0,0.0,0.0
0,12,False,48.117397,0.0,21.791477,0.0,0.0,0.0,0.0,0.0
0,13,False,35.021214,23.392876,25.50009,0.0,0.0,27.685677,0.0,24.446373
0,14,False,39.771404,15.140892,0.0,57.38449,0.0,40.519722,0.0,27.522648
0,15,False,36.201115,22.041647,14.524049,0.0,0.0,0.0,102.37927,0.0
0,16,False,26.90603,14.126814,15.977278,0.0,0.0,0.0,0.0,17.485064
0,17,False,29.470304,0.0,0.0,166.67406,0.0,0.0,0.0,11.056148
0,18,False,50.21361,0.0,18.823414,190.08533,0.0,0.0,0.0,0.0
0,19,False,28.693933,27.195086,13.1223955,49.19484,0.0,0.0,0.0,0.0
0,20,False,43.722458,23.571,15.724202,0.0,0.0,0.0,0.0,0.0
0,21,False,41.508423,16.872858,14.492956,0.0,0.0,48.121857,0.0,0.0
0,22,False,39.770298,19.299648,25.450705,51.053585,0.0,0.0,0.0,0.0
0,23,False,50.680717,10.023128,0.0,0.0,0.0,0.0,0.0,0.0
0,24,False,34.260178,26.273046,15.893038,0.0,0.0,0.0,0.0,0.0
0,25,False,29.03897,28.97431,21.922535,0.0,0.0,0.0,0.0,0.0
0,26,False,35.98165,25.460714,27.950401,0.0,0.0,0.0,0.0,0.0
0,27,False,43.669594,25.196875,0.0,44.17899,0.0,0.0,84.10644,0.0
0,28,False,34.050888,10.315653,23.243868,0.0,0.0,35.338074,0.0,24.791878
0,29,False,28.725891,20.054838,23.98113,0.0,0.0,0.0,0.0,0.0
0,30,False,47.513195,18.258434,13.401606,0.0,0.0,0.0,0.0,0.0
0,31,True,31.053581,14.58858,25.314913,0.0,311.89612,0.0,0.0,0.0
0,32,True,37.572556,16.64451,13.2122135,20.693796,0.0,0.0,0.0,21.38834
0,33,True,38.99838,18.158878,23.608133,0.0,155.18645,0.0,0.0,0.0
0,34,True,43.900646,11.09479,0.0,170.71042,0.0,39.522495,0.0,0.0
0,35,True,51.38475,28.41306,0.0,25.494669,79.52063,0.0,62.723236,0.0
0,36,True,27.08294,0.0,15.005857,0.0,0.0,0.0,0.0,0.0
0,37,True,33.93161,24.318382,30.083885,0.0,263.70123,0.0,0.0,0.0
1,1,False,32.08698,13.288898,22.033619,0.0,219.25827,0.0,0.0,0.0
1,2,False,38.537804,13.605257,23.20306,69.137474,310.28116,0.0,0.0,0.0
1,3,False,29.052088,18.281399,21.52235,107.30683,0.0,0.0,0.0,0.0
1,4,False,31.359543,0.0,29.202265,0.0,0.0,0.0,0.0,9.814887
1,5,False,35.07752,14.998992,0.0,0.0,200.581,45.015835,160.13046,0.0
1,6,False,31.726408,25.579336,0.0,0.0,0.0,29.676424,0.0,0.0
1,7,False,42.963833,10.958472,18.584084,0.0,0.0,0.0,0.0,27.134481
1,8,False,46.6027,24.714138,21.998642,0.0,28.598928,19.642366,0.0,0.0
1,9,False,50.487564,17.702526,16.918106,44.94008,0.0,0.0,0.0,0.0
1,10,False,47.73779,27.078508,26.919685,0.0,0.0,0.0,0.0,0.0
1,11,False,48.117397,0.0,21.791477,0.0,0.0,0.0,0.0,0.0
1,12,False,35.021214,23.392876,25.50009,0.0,0.0,27.685677,0.0,24.446373
1,13,False,39.771404,15.140892,0.0,57.38449,0.0,40.519722,0.0,27.522648
1,14,False,36.201115,22.041647,14.524049,0.0,0.0,0.0,102.37927,0.0
1,15,False,26.90603,14.126814,15.977278,0.0,0.0,0.0,0.0,17.485064
1,16,False,29.470304,0.0,0.0,166.67406,0.0,0.0,0.0,11.056148
1,17,False,50.21361,0.0,18.823414,190.08533,0.0,0.0,0.0,0.0
1,18,False,28.693933,27.195086,13.1223955,49.19484,0.0,0.0,0.0,0.0
1,19,False,43.722458,23.571,15.724202,0.0,0.0,0.0,0.0,0.0
1,20,False,41.508423,16.872858,14.492956,0.0,0.0,48.121857,0.0,0.0
1,21,False,39.770298,19.299648,25.450705,51.053585,0.0,0.0,0.0,0.0
1,22,False,50.680717,10.023128,0.0,0.0,0.0,0.0,0.0,0.0
1,23,False,34.260178,26.273046,15.893038,0.0,0.0,0.0,0.0,0.0
1,24,False,29.03897,28.97431,21.922535,0.0,0.0,0.0,0.0,0.0
1,25,False,35.98165,25.460714,27.950401,0.0,0.0,0.0,0.0,0.0
1,26,False,43.669594,25.196875,0.0,44.17899,0.0,0.0,84.10644,0.0
1,27,False,34.050888,10.315653,23.243868,0.0,0.0,35.338074,0.0,24.791878
1,28,False,28.725891,20.054838,23.98113,0.0,0.0,0.0,0.0,0.0
1,29,False,47.513195,18.258434,13.401606,0.0,0.0,0.0,0.0,0.0
1,30,False,31.053581,14.58858,25.314913,0.0,311.89612,0.0,0.0,0.0
1,31,True,37.572556,16.64451,13.2122135,20.693796,0.0,0.0,0.0,21.38834
1,32,True,38.99838,18.158878,23.608133,0.0,155.18645,0.0,0.0,0.0
1,33,True,43.900646,11.09479,0.0,170.71042,0.0,39.522495,0.0,0.0
1,34,True,51.38475,28.41306,0.0,25.494669,79.52063,0.0,62.723236,0.0
1,35,True,27.08294,0.0,15.005857,0.0,0.0,0.0,0.0,0.0
1,36,True,33.93161,24.318382,30.083885,0.0,263.70123,0.0,0.0,0.0
1,37,True,37.821186,24.394766,28.56367,0.0,0.0,0.0,0.0,0.0
